ÚLTIMA ATUALIZAÇÃO;30/04/2025 05:02
VÍNCULO;CATEGORIA;CARGO;REFERÊNCIA CARGO;SÍMBOLO FUNÇÃO;ANO EXERCÍCIO;LOTAÇÃO EXERCÍCIO;TIPO FOLHA;REMUN_BASICA;VANT_PESSOAIS;FUNC_COMISSIONADA;GRAT_NATALINA;HORAS_EXTRAS;OUTRAS_EVENTUAIS;ABONO_PERMANENCIA;REVERSAO_TETO_CONST;IMPOSTO_RENDA;PREVIDÊNCIA;FALTAS;REM_LIQUIDA;DIÁRIAS;AUXÍLIOS;VANT_INDENIZATORIAS
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2023;Auditoria do Senado Federal;Normal;3568,67;0;0;0;0;0;0;0;-1153,19;-475,76;0;1939,72;0;1460,41;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2023;Auditoria do Senado Federal;Suplementar;0;0;0;0;0;1189,56;0;0;0;0;0;1189,56;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2019;Gabinete do Senador Veneziano Vital do Rêgo;Normal;3568,67;0;0;0;0;225,78;0;0;-119,93;-507,37;0;3167,15;0;1460,41;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2019;Gabinete do Senador Veneziano Vital do Rêgo;Suplementar;0;0;0;0;0;1197,35;0;0;-211,62;0;0;985,73;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2023;Bloco Parlamentar Democracia;Normal;3568,67;0;0;0;0;0;0;0;-46,5;-475,76;0;3046,41;0;1460,41;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2023;Bloco Parlamentar Democracia;Suplementar;0;0;0;0;0;1189,56;0;0;-211,62;0;0;977,94;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2013;Serviço de Apoio às Contratações de TI;Normal;3568,67;0;0;0;0;13,47;0;0;-260,73;-477,64;0;2843,77;0;1521,25;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2013;Serviço de Apoio às Contratações de TI;Suplementar;0;0;0;0;0;1189,56;0;0;0;0;0;1189,56;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2020;Gabinete da DGER;Normal;3568,67;0;0;0;0;182,66;0;0;-68,15;-501,33;0;3181,85;0;1521,4;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2020;Gabinete da DGER;Suplementar;0;0;0;0;0;1189,56;0;0;-225,32;0;0;964,24;0;0;0
