ÚLTIMA ATUALIZAÇÃO;31/12/2025 05:02
VÍNCULO;CATEGORIA;CARGO;REFERÊNCIA CARGO;SÍMBOLO FUNÇÃO;ANO EXERCÍCIO;LOTAÇÃO EXERCÍCIO;TIPO FOLHA;REMUN_BASICA;VANT_PESSOAIS;FUNC_COMISSIONADA;GRAT_NATALINA;HORAS_EXTRAS;OUTRAS_EVENTUAIS;ABONO_PERMANENCIA;REVERSAO_TETO_CONST;IMPOSTO_RENDA;PREVIDÊNCIA;FALTAS;REM_LIQUIDA;DIÁRIAS;AUXÍLIOS;VANT_INDENIZATORIAS
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2019;Gabinete do Senador Veneziano Vital do Rêgo;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2019;Gabinete do Senador Veneziano Vital do Rêgo;Suplementar;0;0;0;1817,04;0;0;0;0;0;-362,61;0;1454,43;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2013;Serviço de Apoio às Contratações de TI;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1955,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2013;Serviço de Apoio às Contratações de TI;Suplementar;0;0;0;1845,49;0;0;0;0;0;-362,61;0;1482,88;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2020;Gabinete da DGER;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1866,37;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2020;Gabinete da DGER;Suplementar;0;0;0;1845,49;0;0;0;0;0;-362,61;0;1482,88;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2011;Gab do Segundo Suplente de Secretário;Normal;2807,53;0;0;0;0;49,85;0;0;0;0;0;2857,38;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2011;Gab do Segundo Suplente de Secretário;Suplementar;0;0;0;1375,38;0;0;0;0;0;0;0;1375,38;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2007;Serviço de Direitos e Deveres Funcionais;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2007;Serviço de Direitos e Deveres Funcionais;Suplementar;0;0;0;1817,04;0;0;0;0;0;-362,61;0;1454,43;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2008;Núcleo de Atend. da Secretaria Integrada de Saúde;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1905,27;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2008;Núcleo de Atend. da Secretaria Integrada de Saúde;Suplementar;0;0;0;1817,04;0;0;0;0;0;-362,61;0;1454,43;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2008;Conselho Editorial;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;3020,25;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2008;Conselho Editorial;Suplementar;0;0;0;1817,04;0;0;0;0;0;-362,61;0;1454,43;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2023;Escritório de Apoio 1 do Senador Jaime Bagattoli;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2023;Escritório de Apoio 1 do Senador Jaime Bagattoli;Suplementar;0;0;0;1817,04;0;0;0;0;0;-362,61;0;1454,43;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2014;Serviço de Cadastro Parlam. e Pessoal Comissionado;Normal;3909,93;0;0;0;0;75,28;0;0;-112,53;-371,64;0;3501,04;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2014;Serviço de Cadastro Parlam. e Pessoal Comissionado;Suplementar;0;0;0;1817,04;0;0;0;0;0;-362,61;0;1454,43;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Serviço de Gestão de Cargos e Seleção;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1897,72;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Serviço de Gestão de Cargos e Seleção;Suplementar;0;0;0;1817,04;0;0;0;0;0;-362,61;0;1454,43;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2017;Serviço de Gestão de Estágios;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;3102,15;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2017;Serviço de Gestão de Estágios;Suplementar;0;0;0;1845,49;0;0;0;0;0;-362,61;0;1482,88;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Serviço de Gestão de Arquivo Intermediário;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1882,62;0
