ÚLTIMA ATUALIZAÇÃO;26/11/2025 17:03
VÍNCULO;CATEGORIA;CARGO;REFERÊNCIA CARGO;SÍMBOLO FUNÇÃO;ANO EXERCÍCIO;LOTAÇÃO EXERCÍCIO;TIPO FOLHA;REMUN_BASICA;VANT_PESSOAIS;FUNC_COMISSIONADA;GRAT_NATALINA;HORAS_EXTRAS;OUTRAS_EVENTUAIS;ABONO_PERMANENCIA;REVERSAO_TETO_CONST;IMPOSTO_RENDA;PREVIDÊNCIA;FALTAS;REM_LIQUIDA;DIÁRIAS;AUXÍLIOS;VANT_INDENIZATORIAS
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2019;Gabinete do Senador Veneziano Vital do Rêgo;Normal;3787,44;0;0;0;0;0;0;0;-101,94;-347,91;0;3337,59;0;1460,41;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2013;Serviço de Apoio às Contratações de TI;Normal;3787,44;0;0;0;0;0;0;0;-101,94;-347,91;0;3337,59;0;1605,06;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2020;Gabinete da DGER;Normal;3787,44;0;0;0;0;0;0;0;-101,94;-347,91;0;3337,59;0;1541,76;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2011;Gabinete do Quarto Suplente de Secretário;Normal;2740,16;0;0;0;0;0;0;0;0;0;0;2740,16;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2007;Serviço de Direitos e Deveres Funcionais;Normal;3787,44;0;0;0;0;107,18;0;0;-118,03;-360,77;0;3415,82;0;1460,41;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2008;Núcleo de Atendimento da SEGP;Normal;3787,44;0;0;0;0;0;0;0;-101,94;-347,91;0;3337,59;0;1512,13;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2008;Núcleo de Atendimento da SEGP;Suplementar;0;0;0;0;0;0;0;0;0;0;0;0;0;-30,76;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2008;Conselho Editorial;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;2696,19;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2023;Escritório de Apoio 1 do Senador Jaime Bagattoli;Normal;3787,44;0;0;0;0;0;0;0;-101,94;-347,91;0;3337,59;0;1460,41;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2023;Escritório de Apoio 1 do Senador Jaime Bagattoli;Suplementar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2014;Gabinete Administrativo da SEGP;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1460,41;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2014;Gabinete Administrativo da SEGP;Suplementar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Serviço de Gestão de Cargos, Salários e Seleção;Normal;3787,44;0;0;0;0;0;0;0;-101,94;-347,91;0;3337,59;0;1542,32;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Serviço de Gestão de Cargos, Salários e Seleção;Suplementar;0;0;0;0;0;1262,48;0;0;-230,34;-62,64;0;969,5;0;-153,12;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2017;Serviço de Gestão de Estágios;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1537,48;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2017;Serviço de Gestão de Estágios;Suplementar;0;0;0;0;0;0;0;0;0;0;0;0;0;-32,84;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Serviço de Gestão de Arquivo Intermediário;Normal;3787,44;0;0;0;0;0;0;0;-101,94;-347,91;0;3337,59;0;1588,06;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Gabinete Administrativo da SEGP;Normal;3909,93;0;0;0;0;0;0;0;-93,78;-362,61;0;3453,54;0;1694,75;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Gabinete Administrativo da SEGP;Suplementar;0;0;0;0;0;0;0;0;0;0;0;0;0;-13,19;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Serviço de Consignações Facultativas;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1460,41;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2023;Gabinete da Liderança do Governo no Congresso;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1460,41;0
