ÚLTIMA ATUALIZAÇÃO;26/11/2025 17:03
VÍNCULO;CATEGORIA;CARGO;REFERÊNCIA CARGO;SÍMBOLO FUNÇÃO;ANO EXERCÍCIO;LOTAÇÃO EXERCÍCIO;TIPO FOLHA;REMUN_BASICA;VANT_PESSOAIS;FUNC_COMISSIONADA;GRAT_NATALINA;HORAS_EXTRAS;OUTRAS_EVENTUAIS;ABONO_PERMANENCIA;REVERSAO_TETO_CONST;IMPOSTO_RENDA;PREVIDÊNCIA;FALTAS;REM_LIQUIDA;DIÁRIAS;AUXÍLIOS;VANT_INDENIZATORIAS
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2019;Gabinete do Senador Veneziano Vital do Rêgo;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2013;Serviço de Apoio às Contratações de TI;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1946,92;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2020;Gabinete da DGER;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1870,92;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2011;Gab do Segundo Suplente de Secretário;Normal;2807,53;0;0;0;0;0;0;0;0;0;0;2807,53;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2007;Serviço de Direitos e Deveres Funcionais;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2008;Núcleo de Atendimento da SEGP;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1927,92;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2008;Conselho Editorial;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;3020,25;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2023;Escritório de Apoio 1 do Senador Jaime Bagattoli;Normal;3909,93;0;0;0;0;113,75;0;0;-137,39;-376,26;0;3510,03;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2014;Gabinete Administrativo da SEGP;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Serviço de Gestão de Cargos, Salários e Seleção;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1859,97;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2017;Serviço de Gestão de Estágios;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;4219,63;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Serviço de Gestão de Arquivo Intermediário;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1875,07;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Gabinete Administrativo da SEGP;Normal;3909,93;0;0;0;0;0;0;0;-93,78;-362,61;0;3453,54;0;2019,37;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Serviço de Consignações Facultativas;Normal;3909,93;0;0;0;0;30,18;0;0;-124,85;-366,23;0;3449,03;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2023;Gabinete da Liderança do Governo no Congresso;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2011;Serviço de Atendimento Operacional;Normal;3909,93;0;0;0;0;0;0;0;-93,78;-362,61;0;3453,54;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2011;Gabinete do Senador Veneziano Vital do Rêgo;Normal;3909,93;0;0;0;0;0;0;0;-93,78;-362,61;0;3453,54;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2011;Serviço de Cadastro Parlam. e Pessoal Comissionado;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2011;Serviço de Planejamento e Controle;Normal;3909,93;0;0;0;0;0;0;0;-93,78;-362,61;0;3453,54;0;1822,22;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2011;Coordenação de Autorização do SIS;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1883,92;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2012;Serv. de Cont. Qual. e Espec. de Mat e Bens Comuns;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;3020,25;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2012;Serviço de Suporte à Infraestrutura de Aplicações;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2012;Escritório de Apoio do Senador Sérgio Petecão;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2023;Secretaria de Comissões;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2013;Serviço de Registro e Controle de Pessoal Efetivo;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1861,42;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2019;Serviço de Gestão da Ceaps;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2017;Gabinete da Liderança do PT;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;2011,52;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2017;Serviço de Controle de Frequência;Normal;3909,93;0;0;0;0;0;0;0;-120,32;-362,61;0;3427;0;3095,75;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2014;Serviço de Instrução Processual da COPEL;Normal;3909,93;0;0;0;0;54,32;0;0;-128,47;-369,13;0;3466,65;0;1784,47;0
